Mutual fund,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
Fidelity 500 Index Fund,1.11%,2604693,531982498,4736,+0.18%,PXD
SPDR S&P 500 ETF Trust,1.10%,2578229,526577491,7384,+0.29%,PXD
Vanguard PRIMECAP Fund,0.98%,2304100,470589384,11000,+0.48%,PXD
Vanguard Total Stock Market Index...,3.10%,3971700,1334928087,17770,+0.45%,PH
Vanguard 500 Index Fund,2.34%,2994470,1006471312,11100,+0.37%,PH
Vanguard Wellington Fund,1.57%,2017954,678254519,-88339,-4.19%,PH
Government Pension Fund - Global ...,1.37%,1754254,589622312,-479766,-21.48%,PH
Columbia Dividend Income Fund,1.23%,1574006,529039157,-15168,-0.95%,PH
Fidelity 500 Index Fund,1.10%,1407658,473127930,2558,+0.18%,PH
SPDR S&P 500 ETF Trust,1.09%,1392709,468103422,3952,+0.28%,PH
JPMorgan Equity Income Fund,1.01%,1299178,436666718,-143402,-9.94%,PH
Vanguard Value Index Fund,0.90%,1147451,385669756,6799,+0.60%,PH
iShares Core S&P 500 ETF,0.89%,1138396,382626280,154,+0.01%,PH
Vanguard Total Stock Market Index...,3.09%,22754428,632345554,1257496,+5.85%,PPL
Vanguard Mid Cap Index Fund,2.34%,17206835,478177945,897664,+5.50%,PPL
Vanguard 500 Index Fund,2.33%,17191208,477743670,79424,+0.46%,PPL
SPDR Series - Utilities Select Se...,1.57%,11554649,321103696,12670,+0.11%,PPL
iShares Tr. - Select Dividend ETF,1.21%,8934693,248295118,-4840,-0.05%,PPL
Vanguard Windsor Funds - Vanguard...,1.12%,8270715,229843170,-1532800,-15.64%,PPL
Fidelity 500 Index Fund,1.10%,8071933,224319018,14669,+0.18%,PPL
SPDR S&P 500 ETF Trust,1.08%,7943289,220744001,22828,+0.29%,PPL
Vanguard Value Index Fund,0.90%,6591498,183177729,374807,+6.03%,PPL
Vanguard Mid Cap Value Index Fund,0.89%,6580378,182868705,399137,+6.46%,PPL
Vanguard Total Stock Market Index...,3.46%,68703813,1110940656,4221714,+6.55%,PCG
American Funds Growth Fund of Ame...,3.37%,66939688,1082414755,-13795854,-17.09%,PCG
American Funds Investment Company...,3.25%,64560094,1043936720,-26801411,-29.34%,PCG
Vanguard Mid Cap Index Fund,2.61%,51843436,838308360,2943151,+6.02%,PCG
Vanguard 500 Index Fund,1.89%,37588802,607810928,178232,+0.48%,PCG
SPDR Series - Utilities Select Se...,1.27%,25265510,408543297,27705,+0.11%,PCG
American Balanced Fund,1.18%,23527511,380439853,3224386,+15.88%,PCG
Fidelity Low Priced Stock Fund,1.16%,22979622,371580488,-13977,-0.06%,PCG
American Funds Insurance Series -...,1.04%,20647128,333864060,-5129868,-19.90%,PCG
Vanguard Value Index Fund,1.00%,19856850,321085265,1223554,+6.57%,PCG
Vanguard Total Stock Market Index...,3.10%,18122796,2592647196,120737,+0.67%,PGR
Vanguard 500 Index Fund,2.33%,13655497,1953555401,62937,+0.46%,PGR
Vanguard Wellington Fund,2.10%,12285075,1757502830,-201061,-1.61%,PGR
MFS Value Fund,1.79%,10476057,1498704714,0,0.00%,PGR
Fidelity 500 Index Fund,1.10%,6413864,917567384,11659,+0.18%,PGR
SPDR S&P 500 ETF Trust,1.08%,6342429,907347893,18148,+0.29%,PGR
Government Pension Fund - Global ...,1.05%,6128791,876784840,800205,+15.02%,PGR
Vanguard Value Index Fund,0.90%,5236376,749115951,42088,+0.81%,PGR
iShares Core S&P 500 ETF,0.89%,5191254,742660797,698,+0.01%,PGR
American Funds Growth Fund of Ame...,0.73%,4295417,614502356,285000,+7.11%,PGR
Vanguard Total Stock Market Index...,2.79%,10041175,1150618243,72432,+0.73%,PAYX
Vanguard 500 Index Fund,2.08%,7489900,858267641,40580,+0.54%,PAYX
American Mutual Fund,1.50%,5400412,618833211,0,0.00%,PAYX
Invesco QQQ Trust,1.33%,4789343,548810814,15435,+0.32%,PAYX
Schwab US Dividend Equity ETF,1.29%,4656174,533550979,2555,+0.05%,PAYX
Washington Mutual Investors Fund,1.05%,3793631,434712176,0,0.00%,PAYX
Fidelity 500 Index Fund,0.98%,3516306,402933505,6389,+0.18%,PAYX
SPDR S&P 500 ETF Trust,0.97%,3476991,398428399,9932,+0.29%,PAYX
iShares Tr. - Edge MSCI Min. Vol....,0.94%,3401718,389802866,-1722,-0.05%,PAYX
iShares Core S&P 500 ETF,0.79%,2847365,326279555,384,+0.01%,PAYX
Vanguard Total Stock Market Index...,3.09%,34957752,2654691687,-124326,-0.35%,PYPL
Vanguard 500 Index Fund,2.34%,26413561,2005845822,-72944,-0.28%,PYPL
Invesco QQQ Trust,1.33%,15032243,1141548533,48475,+0.32%,PYPL
Government Pension Fund - Global ...,1.28%,14453612,1097607295,4745674,+48.88%,PYPL
Fidelity 500 Index Fund,1.11%,12497623,949069491,22721,+0.18%,PYPL
SPDR S&P 500 ETF Trust,1.09%,12284075,932852656,35048,+0.29%,PYPL
iShares Core S&P 500 ETF,0.89%,10041421,762545511,1352,+0.01%,PYPL
Vanguard Growth Index Fund,0.85%,9635082,731688127,-90984,-0.94%,PYPL
Fundsmith Equity Fund,0.84%,9459678,718367947,-473587,-4.77%,PYPL
Vanguard Institutional Index Fund,0.72%,8190852,622013301,-91882,-1.11%,PYPL
Vanguard Total Stock Market Index...,3.10%,14360877,1455905710,-179724,-1.24%,PSX
SPDR Series - Energy Select Secto...,2.93%,13587036,1377453710,187264,+1.40%,PSX
Vanguard 500 Index Fund,2.35%,10879754,1102989461,-100618,-0.92%,PSX
Fidelity 500 Index Fund,1.12%,5181255,525275632,9418,+0.18%,PSX
SPDR S&P 500 ETF Trust,1.09%,5059691,512951474,14456,+0.29%,PSX
Vanguard Value Index Fund,0.90%,4149727,420699323,-47757,-1.14%,PSX
iShares Core S&P 500 ETF,0.89%,4135976,419305247,556,+0.01%,PSX
Vanguard Institutional Index Fund,0.73%,3407175,345419402,-37816,-1.10%,PSX
Government Pension Fund - Global ...,0.73%,3386196,343292550,-325116,-8.76%,PSX
Vanguard Equity Income Fund,0.70%,3244293,328906424,-769539,-19.17%,PSX
Vanguard Total Stock Market Index...,3.10%,48004020,4668390945,307281,+0.64%,PM
American Balanced Fund,2.62%,40649628,3953176323,0,0.00%,PM
Vanguard 500 Index Fund,2.34%,36192725,3519742506,179993,+0.50%,PM
American Funds Income Fund of Ame...,2.30%,35626006,3464629084,4102006,+13.01%,PM
American Funds Fundamental Invest...,1.76%,27251492,2650207597,2768215,+11.31%,PM
Washington Mutual Investors Fund,1.71%,26487582,2575917350,6730547,+34.07%,PM
Capital Income Builder,1.44%,22253756,2164177771,-678326,-2.96%,PM
American Funds Investment Company...,1.40%,21712213,2111512714,-2891821,-11.75%,PM
American Funds Capital World Grow...,1.14%,17663002,1717726945,-670226,-3.66%,PM
Fidelity 500 Index Fund,1.10%,16994178,1652683811,30893,+0.18%,PM
Vanguard Total Stock Market Index...,3.10%,7296711,974694655,60813,+0.84%,PPG
JPMorgan Equity Income Fund,2.40%,5647483,754390779,0,0.00%,PPG
Vanguard 500 Index Fund,2.33%,5486867,732935694,26735,+0.49%,PPG
MFS Value Fund,2.33%,5481535,732223445,-1089683,-16.58%,PPG
Vanguard Equity Income Fund,1.47%,3461863,462435660,119024,+3.56%,PPG
Columbia Dividend Income Fund,1.12%,2629570,351257961,-25341,-0.95%,PPG
Fidelity 500 Index Fund,1.10%,2576497,344168469,4681,+0.18%,PPG
SPDR S&P 500 ETF Trust,1.08%,2538764,339128095,7280,+0.29%,PPG
Government Pension Fund - Global ...,1.05%,2474259,330511517,932092,+60.44%,PPG
Vanguard Wellesley Income Fund,0.97%,2286072,305373498,-91045,-3.83%,PPG
Vanguard Total Stock Market Index...,3.10%,42636119,7772564494,236144,+0.56%,PEP
Vanguard 500 Index Fund,2.34%,32154011,5861676205,147492,+0.46%,PEP
Invesco QQQ Trust,1.33%,18299127,3335930852,59010,+0.32%,PEP
Fidelity 500 Index Fund,1.10%,15103215,2753316095,27459,+0.18%,PEP
SPDR S&P 500 ETF Trust,1.09%,14953697,2726058963,42692,+0.29%,PEP
Government Pension Fund - Global ...,0.99%,13616725,2482328968,1383534,+11.31%,PEP
Vanguard Value Index Fund,0.90%,12321003,2246118847,85073,+0.70%,PEP
iShares Core S&P 500 ETF,0.89%,12223744,2228388531,1644,+0.01%,PEP
Schwab US Dividend Equity ETF,0.78%,10723676,1954926135,5894,+0.05%,PEP
Vanguard Institutional Index Fund,0.71%,9774487,1781888980,-110177,-1.11%,PEP
Vanguard Total Stock Market Index...,3.10%,174001803,7099273562,1269845,+0.74%,PFE
Vanguard 500 Index Fund,2.33%,131050191,5346847793,641831,+0.49%,PFE
Washington Mutual Investors Fund,1.43%,80411445,3280786956,-653500,-0.81%,PFE
Fidelity 500 Index Fund,1.10%,61536289,2510680591,111863,+0.18%,PFE
SPDR S&P 500 ETF Trust,1.09%,60947369,2486652655,173940,+0.29%,PFE
Government Pension Fund - Global ...,1.07%,60321845,2461131276,4725081,+8.50%,PFE
American Balanced Fund,1.01%,56608800,2309639040,-6078297,-9.70%,PFE
American Funds Income Fund of Ame...,0.94%,52679748,2149333718,-4841216,-8.42%,PFE
Vanguard Value Index Fund,0.90%,50266799,2050885399,420598,+0.84%,PFE
iShares Core S&P 500 ETF,0.89%,49820675,2032683540,6704,+0.01%,PFE
Vanguard Total Stock Market Index...,2.94%,1148088,393151255,3891,+0.34%,POOL
Vanguard 500 Index Fund,2.33%,912248,312390205,4260,+0.47%,POOL
Neuberger Berman Genesis Fund,1.85%,723854,247876564,-11967,-1.63%,POOL
Findlay Park Funds Plc - American...,1.37%,535470,183366347,81412,+17.93%,POOL
Vanguard Small Cap Index Fund,1.24%,485430,166230649,2000,+0.41%,POOL
BlackRock Mid Cap Growth Equity P...,1.23%,481739,164966703,0,0.00%,POOL
Vanguard Mid Cap Index Fund,1.11%,433269,148368636,806,+0.19%,POOL
Fidelity 500 Index Fund,1.10%,428099,146598222,778,+0.18%,POOL
SPDR S&P 500 ETF Trust,1.08%,423201,144920950,1196,+0.28%,POOL
Pictet - Water,1.06%,415225,142189649,-10551,-2.48%,POOL
Vanguard Total Stock Market Index...,3.09%,5089287,281284892,18205,+0.36%,PNR
Vanguard Small Cap Index Fund,2.62%,4305828,237983114,18594,+0.43%,PNR
Vanguard 500 Index Fund,2.33%,3840154,212245312,21200,+0.56%,PNR
ProShares S&P 500 Dividend Aristo...,2.05%,3380236,186825644,0,0.00%,PNR
SPDR S&P Dividend ETF,1.95%,3211887,177520994,-875,-0.03%,PNR
Pictet - Water,1.95%,3210549,177447043,-281051,-8.05%,PNR
Vanguard Small Cap Value Index Fu...,1.84%,3020268,166930212,-10286,-0.34%,PNR
Robeco Capital Gr. Fds. - RobecoS...,1.69%,2780000,153650600,-130000,-4.47%,PNR
BNP Paribas Funds - Aqua,1.50%,2459872,135957125,91456,+3.86%,PNR
Parnassus Mid Cap Fund,1.40%,2296917,126950603,0,0.00%,PNR
Lazard Global Listed Infrastructu...,3.46%,3914679,310199164,0,0.00%,PNW
Vanguard Total Stock Market Index...,3.08%,3490303,276571610,1452,+0.04%,PNW
Vanguard Small Cap Index Fund,2.62%,2960072,234556105,11599,+0.39%,PNW
iShares Tr. - Select Dividend ETF,2.44%,2767411,219289648,-1500,-0.05%,PNW
Vanguard 500 Index Fund,2.33%,2641354,209300891,14860,+0.57%,PNW
Vanguard Small Cap Value Index Fu...,1.83%,2076095,164509768,-6276,-0.30%,PNW
SPDR Series - Utilities Select Se...,1.58%,1782161,141218438,1945,+0.11%,PNW
MFS Mid Cap Value Fund,1.35%,1523275,120704311,0,0.00%,PNW
Government Pension Fund - Global ...,1.19%,1342195,106355532,197659,+17.27%,PNW
Invesco S&P 500 Low Volatility ET...,1.13%,1275339,101057862,-328,-0.03%,PNW
Vanguard Total Stock Market Index...,2.63%,1586071,482181445,18618,+1.19%,PAYC
Vanguard Mid Cap Index Fund,1.99%,1197606,364084200,8146,+0.68%,PAYC
Vanguard 500 Index Fund,1.87%,1125610,342196696,-2820,-0.25%,PAYC
Eaton Vance Tax Managed Growth Po...,0.92%,552844,168070104,0,0.00%,PAYC
BlackRock Mid Cap Growth Equity P...,0.92%,552129,167852737,-41784,-7.04%,PAYC
Brown Capital Management - Small ...,0.89%,534420,162469024,-124292,-18.87%,PAYC
Fidelity 500 Index Fund,0.88%,532862,161995377,968,+0.18%,PAYC
SPDR S&P 500 ETF Trust,0.87%,526890,160179829,1508,+0.29%,PAYC
American Century Ultra Fund,0.74%,449000,136500490,23997,+5.65%,PAYC
Vanguard Growth Index Fund,0.72%,436627,132738974,1511,+0.35%,PAYC
Vanguard Total Stock Market Index...,3.10%,7535978,560073885,7868,+0.10%,PFG
Vanguard Mid Cap Index Fund,2.34%,5678303,422011479,-34971,-0.61%,PFG
Vanguard 500 Index Fund,2.19%,5312614,394833472,27132,+0.51%,PFG
American Mutual Fund,1.86%,4523262,336168832,-163091,-3.48%,PFG
Capital Income Builder,1.16%,2826000,210028320,0,0.00%,PFG
Fidelity 500 Index Fund,1.03%,2494588,185397780,4533,+0.18%,PFG
SPDR S&P 500 ETF Trust,1.01%,2466434,183305375,7072,+0.29%,PFG
iShares Tr. - Select Dividend ETF,0.97%,2358819,175307428,-1278,-0.05%,PFG
Vanguard Value Index Fund,0.89%,2174498,161608691,5573,+0.26%,PFG
Vanguard Mid Cap Value Index Fund,0.89%,2171525,161387738,9332,+0.43%,PFG
Vanguard Total Stock Market Index...,2.79%,5997022,559342242,41135,+0.69%,RJF
Vanguard Mid Cap Index Fund,2.10%,4527051,422238047,9649,+0.21%,RJF
Vanguard 500 Index Fund,2.10%,4524808,422028842,28380,+0.63%,RJF
Vanguard PRIMECAP Fund,1.98%,4259403,397274518,-57555,-1.33%,RJF
Fidelity Magellan Fund,1.55%,3334608,311018888,475055,+16.61%,RJF
Vanguard Equity Income Fund,1.54%,3320357,309689697,225361,+7.28%,RJF
Vanguard Capital Opportunity Fund,1.42%,3046360,284133997,0,0.00%,RJF
Stichting Pensioenfonds ABP (Glob...,1.00%,2163398,201780131,-210264,-8.86%,RJF
Fidelity 500 Index Fund,0.99%,2122242,197941511,3857,+0.18%,RJF
SPDR S&P 500 ETF Trust,0.97%,2093057,195219426,6032,+0.29%,RJF
Vanguard Total Stock Market Index...,2.79%,3293859,422371540,41831,+1.29%,PTC
Vanguard Small Cap Index Fund,2.36%,2784960,357115421,29434,+1.07%,PTC
Vanguard 500 Index Fund,2.10%,2484860,318633598,26740,+1.09%,PTC
T Rowe Price Mid Cap Growth Fund,1.69%,2000000,256460000,263700,+15.19%,PTC
AllianceBernstein (Japan) AB US L...,1.61%,1899640,243590837,809881,+74.32%,PTC
Vanguard Small Cap Growth Index F...,1.34%,1589294,203795170,-1045,-0.07%,PTC
Pictet - Robotics,1.11%,1311669,168195316,-733451,-35.86%,PTC
Pictet - Global Environment Oppor...,0.98%,1160343,148790783,332178,+40.11%,PTC
Fidelity 500 Index Fund,0.98%,1158955,148612800,2106,+0.18%,PTC
Franklin Growth Fund,0.98%,1156115,148248626,0,0.00%,PTC
Vanguard Real Estate Index Fund,3.96%,6963760,2104030446,-60953,-0.87%,PSA
Vanguard Total Stock Market Index...,2.63%,4626104,1397731063,32262,+0.70%,PSA
Vanguard 500 Index Fund,2.10%,3690521,1115054015,18080,+0.49%,PSA
Stichting Pensioenfonds ABP (Glob...,1.46%,2559428,773305576,4355,+0.17%,PSA
Vanguard Dividend Growth Fund,1.36%,2390232,722184696,0,0.00%,PSA
Government Pension Fund - Global ...,1.34%,2356373,711954538,427875,+22.19%,PSA
Fidelity 500 Index Fund,0.99%,1732897,523577500,3149,+0.18%,PSA
SPDR S&P 500 ETF Trust,0.98%,1716331,518572248,4888,+0.29%,PSA
Cohen & Steers Real Estate Securi...,0.81%,1425955,430838044,-87584,-5.79%,PSA
Cohen & Steers Institutional Real...,0.81%,1414611,427410568,-127035,-8.24%,PSA
Vanguard Total Stock Market Index...,3.10%,3444945,487390819,-54525,-1.56%,DGX
Vanguard Mid Cap Index Fund,2.34%,2600228,367880257,-55057,-2.07%,DGX
Vanguard 500 Index Fund,2.33%,2591459,366639619,-53940,-2.04%,DGX
Victory Sycamore Established Valu...,1.90%,2110000,298522800,20000,+0.96%,DGX
Fidelity 500 Index Fund,1.12%,1248493,176636790,2269,+0.18%,DGX
SPDR S&P 500 ETF Trust,1.11%,1234517,174659465,3432,+0.28%,DGX
Vanguard Value Index Fund,0.89%,995667,140866967,-13604,-1.35%,DGX
Vanguard Mid Cap Value Index Fund,0.89%,994384,140685448,-12021,-1.19%,DGX
iShares Core S&P 500 ETF,0.89%,985181,139383408,132,+0.01%,DGX
Government Pension Fund - Global ...,0.88%,979244,138543441,-218491,-18.24%,DGX
Government Pension Fund - Global ...,9.42%,16138599,987359487,-1875,-0.01%,REG
Vanguard Real Estate Index Fund,3.96%,6784709,415088497,-59195,-0.86%,REG
Vanguard Total Stock Market Index...,3.09%,5292230,323778631,26519,+0.50%,REG
American Funds Income Fund of Ame...,2.47%,4238000,259280840,0,0.00%,REG
Vanguard 500 Index Fund,2.10%,3595478,219971344,20120,+0.56%,REG
Stichting Pensioenfonds ABP (Glob...,1.88%,3214646,196672042,64671,+2.05%,REG
John Hancock III - Disciplined Va...,1.75%,2996565,183329847,40925,+1.38%,REG
Principal Investors - Real Estate...,1.45%,2482994,151909573,-194090,-7.25%,REG
Vanguard Small Cap Index Fund,1.31%,2241223,137118023,11480,+0.51%,REG
Vanguard Mid Cap Index Fund,1.17%,2000678,122401480,5773,+0.29%,REG
Vanguard Real Estate Index Fund,4.40%,40664858,5073754333,-356083,-0.87%,PLD
Vanguard Total Stock Market Index...,3.10%,28591280,3567334006,185055,+0.65%,PLD
Stichting Pensioenfonds ABP (Glob...,2.41%,22248709,2775971422,-772190,-3.35%,PLD
Vanguard 500 Index Fund,2.33%,21550705,2688881463,105592,+0.49%,PLD
Fidelity 500 Index Fund,1.10%,10119273,1262581692,18399,+0.18%,PLD
SPDR S&P 500 ETF Trust,1.08%,10006527,1248514374,28600,+0.29%,PLD
Government Pension Fund - Global ...,0.92%,8480758,1058144176,-1502032,-15.05%,PLD
Vanguard Value Index Fund,0.89%,8257993,1030349787,60667,+0.74%,PLD
iShares Core S&P 500 ETF,0.89%,8192752,1022209667,1102,+0.01%,PLD
Vanguard Institutional Index Fund,0.71%,6539043,815876395,-74408,-1.13%,PLD
Vanguard Total Stock Market Index...,2.94%,3161834,2597984143,30696,+0.98%,REGN
American Funds Growth Fund of Ame...,2.66%,2857292,2347751118,315611,+12.42%,REGN
Fidelity Contrafund,2.41%,2588083,2126550159,-2618,-0.10%,REGN
Vanguard 500 Index Fund,2.34%,2509833,2062254481,21852,+0.88%,REGN
Dodge & Cox Stock Fund,1.44%,1542485,1267413650,118200,+8.30%,REGN
Vanguard Health Care Fund,1.42%,1522435,1250939166,50419,+3.43%,REGN
Invesco QQQ Trust,1.33%,1428531,1173781067,4620,+0.32%,REGN
JPMorgan Large Cap Growth Fund,1.21%,1302349,1070101103,0,0.00%,REGN
American Funds New Perspective Fu...,1.11%,1192954,980214513,-96715,-7.50%,REGN
Fidelity 500 Index Fund,1.09%,1173915,964570738,2134,+0.18%,REGN
American Funds AMCAP Fund,4.05%,4043401,410688240,0,0.00%,QRVO
Vanguard Total Stock Market Index...,3.09%,3090592,313911429,-29142,-0.93%,QRVO
Vanguard Mid Cap Index Fund,2.34%,2333160,236979061,-30716,-1.30%,QRVO
Vanguard 500 Index Fund,2.34%,2331986,236859818,-21832,-0.93%,QRVO
John Hancock III - Disciplined Va...,1.44%,1438727,146131501,19649,+1.38%,QRVO
Fidelity Funds SICAV - Global Tec...,1.38%,1375139,139672868,-131976,-8.76%,QRVO
Columbia Seligman Technology & In...,1.23%,1229750,124905708,0,0.00%,QRVO
SPDR S&P 500 ETF Trust,1.12%,1115848,113336681,3120,+0.28%,QRVO
Fidelity 500 Index Fund,1.11%,1111484,112893430,2022,+0.18%,QRVO
Government Pension Fund - Global ...,1.10%,1094207,111138605,30228,+2.84%,QRVO
Vanguard Total Stock Market Index...,3.10%,4458668,742992436,57694,+1.31%,PWR
Vanguard Mid Cap Index Fund,2.34%,3363484,560490974,29119,+0.87%,PWR
Vanguard 500 Index Fund,2.32%,3336135,555933536,15340,+0.46%,PWR
American Funds Fundamental Invest...,1.87%,2693000,448761520,2693000,--,PWR
American Balanced Fund,1.59%,2289000,381438960,0,0.00%,PWR
Fidelity 500 Index Fund,1.09%,1566560,261051558,2846,+0.18%,PWR
SPDR S&P 500 ETF Trust,1.08%,1551610,258560290,4420,+0.29%,PWR
JPMorgan Growth Advantage Fund,1.06%,1525562,254219652,-51599,-3.27%,PWR
iShares Core S&P 500 ETF,0.88%,1268321,211353011,170,+0.01%,PWR
Government Pension Fund - Global ...,0.86%,1235081,205813898,-73638,-5.63%,PWR
Vanguard Total Stock Market Index...,3.10%,34523320,4404485166,30200,+0.09%,QCOM
Vanguard 500 Index Fund,2.34%,26031212,3321062027,-11355,-0.04%,QCOM
Invesco QQQ Trust,1.33%,14814709,1890060574,47775,+0.32%,QCOM
Government Pension Fund - Global ...,1.18%,13133267,1675542204,999145,+8.23%,QCOM
Fidelity 500 Index Fund,1.10%,12289027,1567834065,22340,+0.18%,QCOM
SPDR S&P 500 ETF Trust,1.09%,12130295,1547583036,34528,+0.29%,QCOM
iShares Core S&P 500 ETF,0.89%,9896117,1262546607,1332,+0.01%,QCOM
Vanguard Institutional Index Fund,0.71%,7953896,1014758052,-89074,-1.11%,QCOM
Vanguard Equity Income Fund,0.69%,7732392,986498571,2857754,+58.62%,QCOM
Fidelity Contrafund,0.66%,7382054,941802449,-383399,-4.94%,QCOM
American Funds Growth Fund of Ame...,4.24%,4563138,367652029,0,0.00%,RHI
Washington Mutual Investors Fund,4.21%,4538000,365626660,50000,+1.11%,RHI
Vanguard Total Stock Market Index...,2.94%,3163648,254895119,-3283,-0.10%,RHI
American Balanced Fund,2.50%,2687700,216547989,0,0.00%,RHI
Vanguard Small Cap Index Fund,2.49%,2677441,215721421,-8964,-0.33%,RHI
Vanguard 500 Index Fund,2.34%,2514299,202577070,-4817,-0.19%,RHI
Vanguard Small Cap Value Index Fu...,1.74%,1878272,151332375,-17459,-0.92%,RHI
Schwab US Dividend Equity ETF,1.46%,1574964,126894849,861,+0.05%,RHI
American Funds Insurance Series -...,1.21%,1300500,104781285,-23300,-1.76%,RHI
SPDR S&P 500 ETF Trust,1.10%,1189450,95833987,3328,+0.28%,RHI
Vanguard Total Stock Market Index...,2.01%,6359903,859986084,39536,+0.63%,RSG
Vanguard 500 Index Fund,1.52%,4795417,648436287,22760,+0.48%,RSG
iShares Tr. - Edge MSCI Min. Vol....,1.02%,3220780,435513872,-1630,-0.05%,RSG
Nordea 1 - Global Climate & Envir...,0.95%,2987846,404016536,0,0.00%,RSG
Pictet - Water,0.95%,2985818,403742310,47203,+1.61%,RSG
Pictet - Global Environment Oppor...,0.92%,2905993,392948373,-232367,-7.40%,RSG
Allspring Special Mid Cap Value F...,0.91%,2883600,389920392,28900,+1.01%,RSG
JPMorgan Equity Income Fund,0.80%,2524681,341387365,0,0.00%,RSG
Fidelity 500 Index Fund,0.71%,2251717,304477173,4092,+0.18%,RSG
SPDR S&P 500 ETF Trust,0.70%,2218815,300028164,6344,+0.29%,RSG
Vanguard Total Stock Market Index...,3.09%,28868629,535801754,172828,+0.60%,RF
Vanguard Mid Cap Index Fund,2.34%,21826242,405095052,14717,+0.07%,RF
Vanguard 500 Index Fund,2.33%,21806871,404735526,91553,+0.42%,RF
Schwab US Dividend Equity ETF,1.45%,13562584,251721559,7455,+0.06%,RF
Thornburg Investment Income Build...,1.20%,11232655,208478077,0,0.00%,RF
iShares Tr. - Select Dividend ETF,1.15%,10727893,199109694,-5812,-0.05%,RF
Fidelity 500 Index Fund,1.10%,10243918,190127118,18603,+0.18%,RF
SPDR S&P 500 ETF Trust,1.09%,10169882,188753010,28964,+0.29%,RF
JPMorgan Mid Cap Value Fund,1.03%,9607913,178322865,0,0.00%,RF
Government Pension Fund - Global ...,0.98%,9125658,169372212,-512791,-5.32%,RF
Vanguard Total Stock Market Index...,3.10%,15443223,964429276,83071,+0.54%,PEG
Vanguard 500 Index Fund,2.34%,11648948,727476803,60520,+0.52%,PEG
SPDR Series - Utilities Select Se...,1.57%,7829750,488967888,8585,+0.11%,PEG
American Mutual Fund,1.25%,6260784,390985961,0,0.00%,PEG
Fidelity 500 Index Fund,1.10%,5469766,341586887,9931,+0.18%,PEG
SPDR S&P 500 ETF Trust,1.09%,5409594,337829145,15444,+0.29%,PEG
American Funds Income Fund of Ame...,1.05%,5257819,328350797,-479923,-8.36%,PEG
JPMorgan Equity Premium Income ET...,0.98%,4907041,306444710,2556,+0.05%,PEG
JPMorgan Equity Income Fund,0.96%,4809124,300329794,0,0.00%,PEG
Vanguard Value Index Fund,0.90%,4462518,278684249,39471,+0.89%,PEG
Vanguard Total Stock Market Index...,3.10%,11327796,937261841,-6297,-0.06%,PRU
Vanguard 500 Index Fund,2.35%,8591427,710854670,40660,+0.48%,PRU
Fidelity 500 Index Fund,1.10%,4034220,333791363,7327,+0.18%,PRU
SPDR S&P 500 ETF Trust,1.09%,3988900,330041586,11388,+0.29%,PRU
iShares Tr. - Select Dividend ETF,0.98%,3590407,297070275,-1944,-0.05%,PRU
Vanguard Value Index Fund,0.90%,3274971,270971101,9470,+0.29%,PRU
iShares Core S&P 500 ETF,0.89%,3266145,270240837,440,+0.01%,PRU
Vanguard Institutional Index Fund,0.72%,2634544,217982171,-29582,-1.11%,PRU
SPDR Series - Financial Select Se...,0.67%,2457965,203372024,11305,+0.46%,PRU
Hartford Dividend & Growth Fund,0.47%,1716316,142007986,-28718,-1.65%,PRU
T Rowe Price Mid Cap Value Fund,4.35%,1786505,208431538,-217378,-10.85%,RL
JPMorgan Mid Cap Value Fund,2.80%,1148870,134038663,0,0.00%,RL
Vanguard Total Stock Market Index...,2.79%,1144447,133522631,8531,+0.75%,RL
Mackenzie US Mid Cap Growth Class,2.46%,1009395,117766115,0,0.00%,RL
Vanguard Small Cap Index Fund,2.36%,967754,112907859,3820,+0.40%,RL
Vanguard 500 Index Fund,2.34%,961102,112131770,7260,+0.76%,RL
BlackRock Equity Dividend Fund,1.92%,788606,92006662,-9040,-1.13%,RL
Invesco Comstock Fund,1.88%,770626,89908935,0,0.00%,RL
Vanguard Small Cap Value Index Fu...,1.65%,678995,79218347,-780,-0.11%,RL
Invesco S&P 500 Equal Weight ETF,1.41%,578411,67483211,-1226,-0.21%,RL
Vanguard Total Stock Market Index...,3.10%,45358516,4441959472,125253,+0.28%,RTX
Vanguard 500 Index Fund,2.34%,34201846,3349386779,51092,+0.15%,RTX
Dodge & Cox Stock Fund,1.57%,22984100,2250832913,0,0.00%,RTX
American Mutual Fund,1.53%,22472363,2200718509,-264126,-1.16%,RTX
American Funds Investment Company...,1.25%,18364117,1798397978,-5082029,-21.68%,RTX
Capital Income Builder,1.24%,18109540,1773467252,-3016055,-14.28%,RTX
Fidelity 500 Index Fund,1.10%,16115629,1578203548,29301,+0.18%,RTX
SPDR S&P 500 ETF Trust,1.09%,15905915,1557666256,45396,+0.29%,RTX
Washington Mutual Investors Fund,1.06%,15498200,1517738726,-251560,-1.60%,RTX
Government Pension Fund - Global ...,1.05%,15311254,1499431104,817944,+5.64%,RTX
Vanguard Real Estate Index Fund,4.18%,27628210,1749418257,-243580,-0.87%,O
Vanguard Total Stock Market Index...,3.10%,20451433,1294984738,1158369,+6.00%,O
Vanguard Mid Cap Index Fund,2.34%,15427994,976900580,806045,+5.51%,O
Vanguard 500 Index Fund,2.22%,14642410,927157401,70420,+0.48%,O
