Stockholder,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
Invesco Capital Management LLC,1.59%,1771378,250614559,20615,+1.18%,DGX
BlackRock Investment Management (...,1.52%,1689364,239011219,-474763,-21.94%,DGX
American Century Investment Manag...,1.51%,1682070,237979264,-1390465,-45.25%,DGX
"The Vanguard Group, Inc.",15.15%,25950834,1587672024,73712,+0.28%,REG
Norges Bank Investment Management,9.45%,16179323,989850981,0,0.00%,REG
"SSgA Funds Management, Inc.",7.13%,12219225,747572186,7649,+0.06%,REG
BlackRock Fund Advisors,6.57%,11249226,688227647,425866,+3.93%,REG
Principal Global Investors LLC,4.18%,7153599,437657187,-262441,-3.54%,REG
Capital Research & Management Co....,3.59%,6157101,376691439,-2196664,-26.30%,REG
"T. Rowe Price Associates, Inc. (I...",3.55%,6077049,371793858,265643,+4.57%,REG
"Boston Partners Global Investors,...",2.34%,4008113,245216353,73325,+1.86%,REG
Geode Capital Management LLC,2.16%,3700945,226423815,112758,+3.14%,REG
Principal Real Estate Investors L...,2.04%,3486764,213320222,-229576,-6.18%,REG
"The Vanguard Group, Inc.",12.69%,117211872,14624525269,-29026,-0.02%,PLD
"SSgA Funds Management, Inc.",6.69%,61754838,7705151137,-413741,-0.67%,PLD
BlackRock Fund Advisors,6.20%,57264447,7144885052,-1036955,-1.78%,PLD
Cohen & Steers Capital Management...,3.99%,36842785,4596874284,-6267909,-14.54%,PLD
"JPMorgan Investment Management, I...",2.78%,25665008,3202223048,1020048,+4.14%,PLD
"APG Asset Management US, Inc.",2.19%,20247136,2526235159,-191364,-0.94%,PLD
Geode Capital Management LLC,1.96%,18105281,2258995910,267703,+1.50%,PLD
Fidelity Management & Research Co...,1.47%,13531513,1688326877,-2871246,-17.50%,PLD
"T. Rowe Price Associates, Inc. (I...",1.35%,12480030,1557133343,-825643,-6.21%,PLD
Dimensional Fund Advisors LP,1.35%,12430446,1550946747,-82299,-0.66%,PLD
Fidelity Management & Research Co...,9.54%,10255901,8426966175,266343,+2.67%,REGN
"The Vanguard Group, Inc.",7.71%,8284063,6806766045,69470,+0.85%,REGN
Capital Research & Management Co....,5.81%,6242435,5129221566,16836,+0.27%,REGN
BlackRock Fund Advisors,5.73%,6157131,5059129829,-234688,-3.67%,REGN
"SSgA Funds Management, Inc.",4.61%,4960885,4076210378,-90874,-1.80%,REGN
"JPMorgan Investment Management, I...",4.39%,4723613,3881251094,312289,+7.08%,REGN
Wellington Management Co. LLP,2.25%,2416247,1985357672,-27042,-1.11%,REGN
Dodge & Cox,2.07%,2223059,1826620889,-63450,-2.77%,REGN
Geode Capital Management LLC,2.05%,2207990,1814239143,-32123,-1.43%,REGN
"T. Rowe Price Associates, Inc. (I...",1.60%,1723722,1416330656,-26839,-1.53%,REGN
"The Vanguard Group, Inc.",11.41%,11399985,1157896476,-118052,-1.02%,QRVO
BlackRock Fund Advisors,6.12%,6111781,620773596,-337985,-5.24%,QRVO
The Baupost Group LLC,5.74%,5731657,582164401,-1044259,-15.41%,QRVO
Capital Research & Management Co....,5.61%,5606628,569465206,967,+0.02%,QRVO
"SSgA Funds Management, Inc.",4.56%,4550038,462147360,-118271,-2.53%,QRVO
"Boston Partners Global Investors,...",3.61%,3608420,366507219,-1257736,-25.85%,QRVO
Vulcan Value Partners LLC,2.73%,2728901,277174475,-711549,-20.68%,QRVO
Geode Capital Management LLC,2.15%,2145629,217931538,-18851,-0.87%,QRVO
FIL Investment Advisors (UK) Ltd.,2.00%,1995284,202660996,566658,+39.66%,QRVO
LSV Asset Management,1.79%,1791794,181992517,51965,+2.99%,QRVO
"The Vanguard Group, Inc.",10.52%,15151666,2524873622,32440,+0.21%,PWR
BlackRock Fund Advisors,5.27%,7582165,1263491976,361549,+5.01%,PWR
Peconic Partners LLC,3.86%,5562947,927009488,31744,+0.57%,PWR
"SSgA Funds Management, Inc.",3.76%,5414594,902287944,-7297,-0.13%,PWR
"JPMorgan Investment Management, I...",3.58%,5156592,859294491,328123,+6.80%,PWR
Fidelity Management & Research Co...,2.83%,4072755,678683893,-576582,-12.40%,PWR
Geode Capital Management LLC,2.06%,2971700,495204088,83520,+2.89%,PWR
Capital Research & Management Co....,1.70%,2441145,406792403,524,+0.02%,PWR
Dimensional Fund Advisors LP,1.53%,2206482,367688160,-229550,-9.42%,PWR
Voya Investment Management Co. LL...,1.43%,2065399,344178089,-619540,-23.07%,PWR
"The Vanguard Group, Inc.",9.44%,105288066,13432651460,1370051,+1.32%,QCOM
BlackRock Fund Advisors,5.09%,56730008,7237614421,1985920,+3.63%,QCOM
"SSgA Funds Management, Inc.",4.24%,47308945,6035675203,-259801,-0.55%,QCOM
Fidelity Management & Research Co...,2.06%,22977974,2931529923,-5064589,-18.06%,QCOM
Geode Capital Management LLC,1.85%,20599313,2628060353,476768,+2.37%,QCOM
AllianceBernstein LP,1.61%,18000148,2296458882,129132,+0.72%,QCOM
Wellington Management Co. LLP,1.46%,16265305,2075127612,3675611,+29.20%,QCOM
"T. Rowe Price Associates, Inc. (I...",1.42%,15862203,2023699859,-2982325,-15.83%,QCOM
Norges Bank Investment Management,1.20%,13346831,1702788699,950467,+7.67%,QCOM
"Northern Trust Investments, Inc.(...",1.04%,11594056,1479169664,-58137,-0.50%,QCOM
Capital Research & Management Co....,12.56%,13530523,1090154238,7177570,+112.98%,RHI
"The Vanguard Group, Inc.",12.29%,13240046,1066750506,-380298,-2.79%,RHI
BlackRock Fund Advisors,6.07%,6534653,526496992,162453,+2.55%,RHI
"SSgA Funds Management, Inc.",4.26%,4589158,369748460,-145851,-3.08%,RHI
AllianceBernstein LP,2.61%,2808208,226257319,891202,+46.49%,RHI
Geode Capital Management LLC,2.58%,2780115,223993866,12215,+0.44%,RHI
AQR Capital Management LLC,1.54%,1662788,133970829,-348835,-17.34%,RHI
Millennium Management LLC,1.53%,1648264,132800630,1479709,+877.88%,RHI
"Northern Trust Investments, Inc.(...",1.40%,1508886,121570945,56097,+3.86%,RHI
"Fiduciary Management, Inc.",1.31%,1409748,113583396,136380,+10.71%,RHI
"The Vanguard Group, Inc.",5.51%,17418217,2355291303,197655,+1.15%,RSG
BlackRock Fund Advisors,4.58%,14487905,1959054514,392421,+2.78%,RSG
"SSgA Funds Management, Inc.",2.86%,9047574,1223412956,-191611,-2.07%,RSG
Pictet Asset Management SA,2.32%,7339757,992481942,-538316,-6.83%,RSG
Geode Capital Management LLC,1.40%,4425487,598414352,37823,+0.86%,RSG
"T. Rowe Price Associates, Inc. (I...",1.24%,3919350,529974507,-1655786,-29.70%,RSG
Nordea Investment Management AB (...,1.20%,3799812,513810579,-1065101,-21.89%,RSG
Allspring Global Investments LLC,1.17%,3707927,501385889,90767,+2.51%,RSG
Dimensional Fund Advisors LP,1.08%,3396343,459253500,-45607,-1.33%,RSG
"JPMorgan Investment Management, I...",1.05%,3327119,449893031,247486,+8.04%,RSG
"The Vanguard Group, Inc.",11.31%,105718685,1962138794,545715,+0.52%,RF
BlackRock Fund Advisors,6.81%,63631843,1181007006,39642,+0.06%,RF
"SSgA Funds Management, Inc.",5.36%,50123601,930294035,-1523862,-2.95%,RF
Charles Schwab Investment Managem...,2.11%,19712881,365871071,1939092,+10.91%,RF
Geode Capital Management LLC,2.10%,19608550,363934688,184465,+0.95%,RF
LSV Asset Management,1.72%,16037731,297660287,-544000,-3.28%,RF
Dimensional Fund Advisors LP,1.47%,13764057,255460898,185148,+1.36%,RF
"JPMorgan Investment Management, I...",1.46%,13639212,253143775,-566504,-3.99%,RF
"Thornburg Investment Management, ...",1.23%,11478973,213049739,0,0.00%,RF
Capital Research & Management Co....,1.08%,10069900,186897344,0,0.00%,RF
"The Vanguard Group, Inc.",8.53%,42535084,2656315996,433654,+1.03%,PEG
BlackRock Fund Advisors,6.91%,34478991,2153212988,2097443,+6.48%,PEG
"SSgA Funds Management, Inc.",6.22%,31020209,1937212052,-574569,-1.82%,PEG
"JPMorgan Investment Management, I...",3.35%,16716426,1043940804,11071433,+196.13%,PEG
Capital Research & Management Co....,3.27%,16304238,1018199663,-10677771,-39.57%,PEG
Geode Capital Management LLC,2.01%,10032350,626520258,210416,+2.14%,PEG
Capital Research & Management Co....,1.28%,6376328,398201684,0,0.00%,PEG
BlackRock Advisors LLC,1.20%,5991987,374199588,1707903,+39.87%,PEG
"Northern Trust Investments, Inc.(...",1.13%,5616830,350771034,210362,+3.89%,PEG
Nordea Investment Management AB (...,1.12%,5560032,347223998,-286520,-4.90%,PEG
"The Vanguard Group, Inc.",8.20%,30028378,2484547996,-53162,-0.18%,PRU
BlackRock Fund Advisors,6.11%,22349117,1849165941,162147,+0.73%,PRU
"SSgA Funds Management, Inc.",4.77%,17464431,1445007021,-258914,-1.46%,PRU
Charles Schwab Investment Managem...,2.19%,8005166,662347435,700449,+9.59%,PRU
Geode Capital Management LLC,2.05%,7502614,620766282,-105996,-1.39%,PRU
"Northern Trust Investments, Inc.(...",1.01%,3709150,306895071,-48407,-1.29%,PRU
BlackRock Advisors (UK) Ltd.,0.94%,3429323,283742185,31115,+0.92%,PRU
Morgan Stanley Smith Barney LLC (...,0.91%,3312916,274110670,-35593,-1.06%,PRU
Goldman Sachs Asset Management LP,0.86%,3146652,260353986,379630,+13.72%,PRU
BlackRock Investment Management (...,0.80%,2920105,241609488,-300888,-9.34%,PRU
"The Vanguard Group, Inc.",10.63%,4367594,509567192,-68120,-1.54%,RL
"T. Rowe Price Associates, Inc. (I...",8.11%,3333095,388872194,13004,+0.39%,RL
"JPMorgan Investment Management, I...",5.90%,2425432,282975151,-31670,-1.29%,RL
BlackRock Fund Advisors,5.56%,2285699,266672502,-105701,-4.42%,RL
BlackRock Advisors LLC,5.10%,2096820,244635989,573224,+37.62%,RL
"SSgA Funds Management, Inc.",4.55%,1870716,218256436,-103075,-5.22%,RL
HS Management Partners LLC,3.73%,1533259,178885328,-481640,-23.90%,RL
"Barrow, Hanley, Mewhinney & Strau...",3.73%,1532719,178822326,640694,+71.82%,RL
"Invesco Advisers, Inc.",3.05%,1254786,146395883,-89533,-6.66%,RL
AllianceBernstein LP,2.49%,1024754,119558049,-29395,-2.79%,RL
"SSgA Funds Management, Inc.",8.59%,125881576,12327582738,-3066996,-2.38%,RTX
"The Vanguard Group, Inc.",8.06%,118120234,11567514516,769030,+0.66%,RTX
Capital Research & Management Co....,5.51%,80724763,7905376041,2933758,+3.77%,RTX
BlackRock Fund Advisors,5.15%,75454960,7389304233,2075720,+2.83%,RTX
Capital Research & Management Co....,3.58%,52460756,5137481835,4785104,+10.04%,RTX
Wellington Management Co. LLP,2.89%,42328337,4145214042,-1273998,-2.92%,RTX
Dodge & Cox,2.29%,33559257,3286458038,-1032180,-2.98%,RTX
"JPMorgan Investment Management, I...",1.78%,26024514,2548580656,445070,+1.74%,RTX
Geode Capital Management LLC,1.74%,25541722,2501300835,345498,+1.37%,RTX
Morgan Stanley Smith Barney LLC (...,1.39%,20321709,1990104962,123388,+0.61%,RTX
"The Vanguard Group, Inc.",14.78%,97640067,6182569042,2143796,+2.24%,O
"SSgA Funds Management, Inc.",7.60%,50207192,3179119397,3168422,+6.74%,O
BlackRock Fund Advisors,6.26%,41376816,2619979989,3012652,+7.85%,O
Cohen & Steers Capital Management...,5.84%,38593701,2443753147,5099160,+15.22%,O
Managed Account Advisors LLC,2.69%,17789002,1126399607,-329043,-1.82%,O
Geode Capital Management LLC,2.17%,14354940,908954801,465470,+3.35%,O
Morgan Stanley Smith Barney LLC (...,1.85%,12226384,774174635,225718,+1.88%,O
Daiwa Asset Management Co. Ltd.,1.36%,8954741,567014200,1419353,+18.84%,O
Dimensional Fund Advisors LP,1.25%,8246941,522196304,26175,+0.32%,O
"JPMorgan Investment Management, I...",1.18%,7810883,494585112,-507439,-6.10%,O
"The Vanguard Group, Inc.",11.30%,25486670,1485363128,-1001040,-3.78%,PHM
BlackRock Fund Advisors,6.44%,14522004,846342393,-1552602,-9.66%,PHM
"SSgA Funds Management, Inc.",4.48%,10115120,589509194,-593302,-5.54%,PHM
Putnam Investment Management LLC,4.26%,9603310,559680907,421474,+4.59%,PHM
Dimensional Fund Advisors LP,3.16%,7118354,414857671,451733,+6.78%,PHM
Harris Associates LP,2.64%,5945669,346513589,-4650,-0.08%,PHM
"Greenhaven Associates, Inc.",2.50%,5638390,328605369,14400,+0.26%,PHM
AllianceBernstein LP,2.48%,5599596,326344455,-111695,-1.96%,PHM
Geode Capital Management LLC,2.38%,5378127,313437242,-83409,-1.53%,PHM
Balyasny Asset Management LP,2.32%,5232706,304962106,3138240,+149.83%,PHM
"The Vanguard Group, Inc.",10.82%,15892954,3480397996,232390,+1.48%,RMD
BlackRock Fund Advisors,5.79%,8510730,1863764763,271229,+3.29%,RMD
"SSgA Funds Management, Inc.",4.33%,6358679,1392487114,-97636,-1.51%,RMD
Fidelity Management & Research Co...,4.09%,6000636,1314079278,-461734,-7.14%,RMD
Capital Research & Management Co....,3.44%,5048079,1105478820,126125,+2.56%,RMD
WCM Investment Management LLC,2.61%,3832642,839310272,-1984316,-34.11%,RMD
Geode Capital Management LLC,2.13%,3128447,685098609,94886,+3.13%,RMD
"Northern Trust Investments, Inc.(...",1.12%,1644678,360168035,-21293,-1.28%,RMD
BlackRock Investment Management (...,1.09%,1601676,350751027,-252966,-13.64%,RMD
Ownership Capital BV,0.96%,1412184,309254174,-74075,-4.98%,RMD
"T. Rowe Price Associates, Inc. (I...",13.70%,46857965,4973035825,48000,+0.10%,ROST
"The Vanguard Group, Inc.",7.78%,26607845,2823890590,182251,+0.69%,ROST
BlackRock Fund Advisors,4.87%,16664502,1768603597,487755,+3.02%,ROST
"SSgA Funds Management, Inc.",4.28%,14632012,1552895434,-488061,-3.23%,ROST
Fidelity Management & Research Co...,3.43%,11744544,1246448455,-141584,-1.19%,ROST
PRIMECAP Management Co.,3.27%,11180194,1186553989,-121310,-1.07%,ROST
Wellington Management Co. LLP,2.18%,7468386,792619806,4522607,+153.53%,ROST
Geode Capital Management LLC,2.12%,7235856,767941397,120161,+1.69%,ROST
"Victory Capital Management, Inc. ...",1.56%,5318339,564435318,53842,+1.02%,ROST
Massachusetts Financial Services ...,1.41%,4820167,511564324,-893174,-15.63%,ROST
"The Vanguard Group, Inc.",5.56%,27372543,1027291539,2137457,+8.47%,ROL
APG Asset Management NV,3.72%,18307877,687094624,-1775188,-8.84%,ROL
BlackRock Fund Advisors,3.31%,16315110,612306078,1156243,+7.63%,ROL
Select Equity Group LP,2.59%,12732331,477844382,125999,+1.00%,ROL
"SSgA Funds Management, Inc.",2.27%,11183493,419716492,130005,+1.18%,ROL
Kayne Anderson Rudnick Investment...,1.40%,6873472,257961404,-101215,-1.45%,ROL
Geode Capital Management LLC,1.13%,5554291,208452541,75797,+1.38%,ROL
BlackRock Advisors LLC,1.11%,5451599,204598510,-2386410,-30.45%,ROL
Invesco Capital Management LLC,0.74%,3631413,136286930,492171,+15.68%,ROL
Riverbridge Partners LLC,0.69%,3399849,127596333,-52229,-1.51%,ROL
"The Vanguard Group, Inc.",8.57%,26952457,4074133400,157264,+0.59%,SRE
Capital Research & Management Co....,7.33%,23042518,3483107021,4330668,+23.14%,SRE
BlackRock Fund Advisors,5.74%,18039391,2726834344,318637,+1.80%,SRE
"SSgA Funds Management, Inc.",5.72%,18006339,2721838203,-408987,-2.22%,SRE
"T. Rowe Price Associates, Inc. (I...",4.06%,12775619,1931162568,-4260742,-25.01%,SRE
Wellington Management Co. LLP,3.83%,12046657,1820972672,-288524,-2.34%,SRE
Newport Trust Co.,2.27%,7150016,1080796419,-174643,-2.38%,SRE
Norges Bank Investment Management,2.06%,6472702,978413634,514927,+8.64%,SRE
RREEF America LLC,1.99%,6253736,945314734,-414680,-6.22%,SRE
Geode Capital Management LLC,1.84%,5797835,876400739,30861,+0.54%,SRE
"The Vanguard Group, Inc.",12.05%,6402013,1580592990,58868,+0.93%,SNA
BlackRock Fund Advisors,5.56%,2951786,728766446,43532,+1.50%,SNA
"SSgA Funds Management, Inc.",4.20%,2231314,550889113,12298,+0.55%,SNA
Geode Capital Management LLC,2.61%,1387697,342608512,15479,+1.13%,SNA
Charles Schwab Investment Managem...,2.39%,1269093,313326371,114488,+9.92%,SNA
First Trust Advisors LP,2.16%,1145802,282887056,-47252,-3.96%,SNA
"JPMorgan Investment Management, I...",2.15%,1140884,281672851,-30084,-2.57%,SNA
Dimensional Fund Advisors LP,1.61%,853582,210740860,-132528,-13.44%,SNA
"Northern Trust Investments, Inc.(...",1.47%,780903,192797142,18896,+2.48%,SNA
"Regions Investment Management, In...",1.37%,729158,180021819,-698,-0.10%,SNA
"The Vanguard Group, Inc.",8.56%,27570845,9505600231,-306613,-1.10%,SPGI
"SSgA Funds Management, Inc.",4.66%,15007664,5174192317,-350419,-2.28%,SPGI
BlackRock Fund Advisors,4.52%,14552977,5017429880,-2774823,-16.01%,SPGI
TCI Fund Management Ltd.,2.85%,9184573,3166565233,416252,+4.75%,SPGI
Geode Capital Management LLC,1.84%,5916601,2039866527,-61803,-1.03%,SPGI
Wellington Management Co. LLP,1.65%,5295547,1825745739,-1377039,-20.64%,SPGI
"JPMorgan Investment Management, I...",1.64%,5278792,1819969118,770668,+17.10%,SPGI
Fidelity Management & Research Co...,1.60%,5161779,1779626546,-711213,-12.11%,SPGI
Capital Research & Management Co....,1.55%,4985551,1718868418,-86158,-1.70%,SPGI
Capital Research & Management Co....,1.26%,4043333,1394019918,-86516,-2.09%,SPGI
"The Vanguard Group, Inc.",7.78%,77793248,15541535085,1331262,+1.74%,CRM
BlackRock Fund Advisors,4.71%,47067298,9403104794,2278868,+5.09%,CRM
"SSgA Funds Management, Inc.",4.51%,45117697,9013613507,291964,+0.65%,CRM
Fidelity Management & Research Co...,3.31%,33099218,6612561772,-7287939,-18.05%,CRM
"T. Rowe Price Associates, Inc. (I...",2.63%,26293229,5252861290,-4093933,-13.47%,CRM
Geode Capital Management LLC,1.74%,17416910,3479550280,450250,+2.65%,CRM
Fisher Asset Management LLC,1.39%,13875409,2772029210,1149446,+9.03%,CRM
Wellington Management Co. LLP,1.17%,11652411,2327918670,-610598,-4.98%,CRM
Norges Bank Investment Management,1.07%,10712577,2140158633,131261,+1.24%,CRM
Polen Capital Management LLC,1.05%,10480436,2093781504,-577251,-5.22%,CRM
"The Vanguard Group, Inc.",8.01%,16252429,7552828805,216832,+1.35%,NOW
"T. Rowe Price Associates, Inc. (I...",7.31%,14835423,6894317777,727494,+5.16%,NOW
BlackRock Fund Advisors,4.81%,9758760,4535090947,193429,+2.02%,NOW
"SSgA Funds Management, Inc.",3.91%,7940410,3690067335,-29565,-0.37%,NOW
Polen Capital Management LLC,2.19%,4452974,2069386077,499675,+12.64%,NOW
Capital Research & Management Co....,2.06%,4185787,1945218935,-724657,-14.76%,NOW
Capital Research & Management Co....,1.84%,3738985,1737581109,29402,+0.79%,NOW
Geode Capital Management LLC,1.73%,3510904,1631587307,90337,+2.64%,NOW
Edgewood Management LLC,1.66%,3371398,1566756079,-485635,-12.59%,NOW
"Franklin Advisers, Inc.",1.50%,3040861,1413148924,-60830,-1.96%,NOW
"The Vanguard Group, Inc.",15.74%,17004775,4439436609,77748,+0.46%,SBAC
BlackRock Fund Advisors,5.58%,6031071,1574531706,-231921,-3.70%,SBAC
"SSgA Funds Management, Inc.",4.57%,4941351,1290038506,-20661,-0.42%,SBAC
"T. Rowe Price Associates, Inc. (I...",3.00%,3244378,847009764,-151815,-4.47%,SBAC
Principal Global Investors LLC,2.58%,2786566,727488786,-138610,-4.74%,SBAC
RREEF America LLC,2.31%,2491106,650353043,-205059,-7.61%,SBAC
Geode Capital Management LLC,2.30%,2481744,647908906,47633,+1.96%,SBAC
Fidelity Management & Research Co...,1.96%,2120350,553559775,-198437,-8.56%,SBAC
Capital Research & Management Co....,1.82%,1969619,514208432,-115859,-5.56%,SBAC
Massachusetts Financial Services ...,1.63%,1756043,458450146,55933,+3.29%,SBAC
"The Vanguard Group, Inc.",8.57%,9103308,4011736803,124161,+1.38%,ROP
"T. Rowe Price Associates, Inc. (I...",7.95%,8440733,3719746626,493848,+6.21%,ROP
BlackRock Fund Advisors,5.10%,5413996,2385893897,178809,+3.42%,ROP
"SSgA Funds Management, Inc.",3.98%,4226809,1862712458,28798,+0.69%,ROP
T. Rowe Price Investment Manageme...,3.14%,3337249,1470692262,-1080285,-24.45%,ROP
"Franklin Advisers, Inc.",3.02%,3212978,1415927275,2824,+0.09%,ROP
Principal Global Investors LLC,2.46%,2617739,1153611400,-35200,-1.33%,ROP
AllianceBernstein LP,2.34%,2483094,1094274695,121894,+5.16%,ROP
Morgan Stanley Investment Managem...,2.31%,2456156,1082403388,-23159,-0.93%,ROP
Geode Capital Management LLC,1.74%,1851490,815933128,38573,+2.13%,ROP
"The Vanguard Group, Inc.",8.54%,92956888,6467940267,3045780,+3.39%,SO
"SSgA Funds Management, Inc.",5.99%,65181404,4535322090,112855,+0.17%,SO
BlackRock Fund Advisors,5.64%,61366974,4269914051,5375179,+9.60%,SO
"T. Rowe Price Associates, Inc. (I...",5.53%,60188708,4187930303,-2813652,-4.47%,SO
Massachusetts Financial Services ...,2.44%,26558618,1847948640,-1096715,-3.97%,SO
Geode Capital Management LLC,1.79%,19514403,1357812161,584893,+3.09%,SO
Fidelity Management & Research Co...,1.65%,18012383,1253301609,-5602389,-23.72%,SO
"Franklin Advisers, Inc.",1.33%,14474098,1007107739,118656,+0.83%,SO
Capital Research & Management Co....,1.01%,11026875,767249963,-385734,-3.38%,SO
"Northern Trust Investments, Inc.(...",0.96%,10489273,729843615,-245036,-2.28%,SO
"The Vanguard Group, Inc.",11.43%,13118391,3849591839,96748,+0.74%,ROK
BlackRock Fund Advisors,4.99%,5728022,1680888056,132118,+2.36%,ROK
Capital Research & Management Co....,4.44%,5093932,1494814345,461950,+9.97%,ROK
"SSgA Funds Management, Inc.",3.91%,4483613,1315716235,-53293,-1.17%,ROK
Alecta Pension Insurance Mutual,2.63%,3013365,884271959,35100,+1.18%,ROK
Geode Capital Management LLC,2.03%,2324137,682018003,28866,+1.26%,ROK
Morgan Stanley Smith Barney LLC (...,1.50%,1716511,503710153,137180,+8.69%,ROK
"Amundi Asset Management US, Inc.",1.39%,1600187,469574875,223702,+16.25%,ROK
"UBS Financial Services, Inc.",1.39%,1599549,469387654,-48926,-2.97%,ROK
"T. Rowe Price Associates, Inc. (I...",1.20%,1376599,403962977,-122157,-8.15%,ROK
"The Vanguard Group, Inc.",14.28%,46673855,5226071544,-218428,-0.47%,SPG
BlackRock Fund Advisors,7.10%,23209771,2598798059,1047276,+4.73%,SPG
"SSgA Funds Management, Inc.",7.03%,22988204,2573989202,199738,+0.88%,SPG
Cohen & Steers Capital Management...,6.95%,22717288,2543654737,1263588,+5.89%,SPG
Geode Capital Management LLC,2.26%,7379220,826251263,-547435,-6.91%,SPG
Norges Bank Investment Management,2.10%,6876806,769995968,3629070,+111.74%,SPG
Dimensional Fund Advisors LP,1.37%,4478482,501455630,-35439,-0.79%,SPG
Daiwa Asset Management Co. Ltd.,1.18%,3853707,431499573,-840096,-17.90%,SPG
"T. Rowe Price Associates, Inc. (I...",1.17%,3821010,427838490,-157228,-3.95%,SPG
BlackRock Investment Management (...,1.04%,3400411,380744020,-189684,-5.28%,SPG
"The Vanguard Group, Inc.",7.77%,20082987,4514052988,267591,+1.35%,SHW
BlackRock Fund Advisors,4.29%,11086283,2491863830,320446,+2.98%,SHW
"SSgA Funds Management, Inc.",3.99%,10297880,2314654488,-1672,-0.02%,SHW
"T. Rowe Price Associates, Inc. (I...",3.85%,9960923,2238916663,1475366,+17.39%,SHW
Massachusetts Financial Services ...,3.23%,8350965,1877046403,-134873,-1.59%,SHW
Fidelity Management & Research Co...,1.83%,4718090,1060485089,-1048346,-18.18%,SHW
Geode Capital Management LLC,1.59%,4105942,922892583,103676,+2.59%,SHW
Capital Research & Management Co....,1.53%,3947730,887331272,-511953,-11.48%,SHW
Fiera Capital Corp. (Investment M...,1.28%,3310545,744111200,-167645,-4.82%,SHW
Janus Henderson Investors US LLC,1.17%,3034655,682099404,1920202,+172.30%,SHW
"The Vanguard Group, Inc.",11.30%,16269349,746925813,181554,+1.13%,SEE
T. Rowe Price Investment Manageme...,7.48%,10770131,494456714,13796,+0.13%,SEE
BlackRock Fund Advisors,5.56%,7999548,367259249,171776,+2.19%,SEE
Janus Henderson Investors US LLC,4.93%,7097039,325825060,306139,+4.51%,SEE
BlackRock Advisors LLC,4.53%,6522757,299459774,845576,+14.89%,SEE
"SSgA Funds Management, Inc.",4.30%,6186128,284005136,-303938,-4.68%,SEE
BlackRock Investment Management L...,2.33%,3349272,153765078,299520,+9.82%,SEE
Geode Capital Management LLC,2.07%,2977027,136675310,97945,+3.40%,SEE
Fidelity Management & Research Co...,2.03%,2915721,133860751,485046,+19.96%,SEE
Kensico Capital Management Corp.,1.77%,2543000,116749130,-137000,-5.11%,SEE
"The Vanguard Group, Inc.",11.85%,12636906,1988669897,203085,+1.63%,SJM
"SSgA Funds Management, Inc.",6.76%,7208071,1134334133,-385999,-5.08%,SJM
BlackRock Fund Advisors,6.08%,6483165,1020255676,198569,+3.16%,SJM
Geode Capital Management LLC,2.11%,2253122,354573809,45838,+2.08%,SJM
LSV Asset Management,1.56%,1665120,262039934,-422279,-20.23%,SJM
Dimensional Fund Advisors LP,1.46%,1560505,245576672,1442,+0.09%,SJM
Invesco Capital Management LLC,1.43%,1527120,240322874,597645,+64.30%,SJM
Massachusetts Financial Services ...,1.37%,1459705,229713776,-165062,-10.16%,SJM
Washington Crossing Advisors LLC,1.35%,1439821,226584631,28544,+2.02%,SJM
Norges Bank Investment Management,1.30%,1382261,217526414,984448,+247.47%,SJM
"The Vanguard Group, Inc.",10.90%,22508090,1488234911,-183477,-0.81%,STX
ValueAct Capital Management LP,6.51%,13437070,888459068,0,0.00%,STX
"JPMorgan Investment Management, I...",5.48%,11311926,747944547,-1022370,-8.29%,STX
Sanders Capital LLC,5.29%,10925729,722409201,5153389,+89.28%,STX
BlackRock Fund Advisors,4.28%,8836187,584248684,-185801,-2.06%,STX
"SSgA Funds Management, Inc.",4.14%,8540840,564720341,-410615,-4.59%,STX
Fidelity Management & Research Co...,3.78%,7799027,515671665,18751,+0.24%,STX
Viking Global Investors LP,3.00%,6198933,409873450,6198933,--,STX
ClearBridge Investments LLC,2.75%,5687326,376045995,-501570,-8.10%,STX
LSV Asset Management,2.07%,4272039,282467219,-548546,-11.38%,STX
"The Vanguard Group, Inc.",8.42%,119570936,5870932958,1827914,+1.55%,SLB
"SSgA Funds Management, Inc.",6.08%,86299734,4237316939,-4946057,-5.42%,SLB
BlackRock Fund Advisors,4.80%,68115829,3344487204,-4427979,-6.10%,SLB
Wellington Management Co. LLP,2.61%,37011043,1817242211,-4577725,-11.01%,SLB
Fidelity Management & Research Co...,2.01%,28555727,1402086196,1477531,+5.46%,SLB
First Eagle Investment Management...,1.94%,27506037,1350546417,456525,+1.69%,SLB
GQG Partners LLC,1.93%,27392377,1344965711,15987058,+140.17%,SLB
Jennison Associates LLC,1.88%,26647271,1308381006,1507106,+5.99%,SLB
Geode Capital Management LLC,1.76%,24946361,1224866325,248149,+1.00%,SLB
Fisher Asset Management LLC,1.36%,19293963,947333583,326849,+1.72%,SLB
Capital Research & Management Co....,11.37%,29041727,1896424773,-711239,-2.39%,RCL
Capital Research & Management Co....,10.96%,27990406,1827773512,5040658,+21.96%,RCL
"The Vanguard Group, Inc.",9.03%,23046666,1504947290,303011,+1.33%,RCL
BlackRock Fund Advisors,3.98%,10155264,663138739,-437828,-4.13%,RCL
"SSgA Funds Management, Inc.",3.12%,7956874,519583872,-292498,-3.55%,RCL
